Commodity,State,Units,Year,Value,
"Fruits, fresh",Alabama,Million dollars,2001,3.519638153,
"Fruits, fresh",Alabama,Million dollars,2002,3.827263057,
"Fruits, fresh",Alabama,Million dollars,2003,2.67967881,
"Fruits, fresh",Alabama,Million dollars,2004,2.906556785,
"Fruits, fresh",Alabama,Million dollars,2005,3.242404987,
"Fruits, fresh",Alabama,Million dollars,2006,2.882258628,
"Fruits, fresh",Alabama,Million dollars,2007,2.507927489,
"Fruits, fresh",Alabama,Million dollars,2008,2.402162155,
"Fruits, fresh",Alabama,Million dollars,2009,2.054295357,
"Fruits, fresh",Alabama,Million dollars,2010,2.257587147,
"Fruits, fresh",Alabama,Million dollars,2011,2.511194979,
"Fruits, fresh",Alabama,Million dollars,2012,2.240577246,
"Fruits, fresh",Alabama,Million dollars,2013,2.414013799,
"Fruits, fresh",Alabama,Million dollars,2014,2.394603877,
"Fruits, fresh",Alabama,Million dollars,2015,2.892649148,
"Fruits, fresh",Alabama,Million dollars,2016,0.944840781,
"Fruits, fresh",Alabama,Million dollars,2017,0.866616938,
"Fruits, fresh",Alabama,Million dollars,2018,0,
"Fruits, fresh",Alabama,Million dollars,2019,0,
"Fruits, fresh",Alabama,Million dollars,2020,0,
"Fruits, fresh",Alabama,Million dollars,2021,0,
"Fruits, fresh",Alabama,Million dollars,2022,0,
"Fruits, processed",Alabama,Million dollars,2000,2.058303079,
"Fruits, processed",Alabama,Million dollars,2001,3.094608066,
"Fruits, processed",Alabama,Million dollars,2002,3.373175619,
"Fruits, processed",Alabama,Million dollars,2003,2.370668994,
"Fruits, processed",Alabama,Million dollars,2004,2.766421012,
"Fruits, processed",Alabama,Million dollars,2005,2.652351356,
"Fruits, processed",Alabama,Million dollars,2006,2.66468226,
"Fruits, processed",Alabama,Million dollars,2007,2.387494562,
"Fruits, processed",Alabama,Million dollars,2008,2.212371442,
"Fruits, processed",Alabama,Million dollars,2009,1.817051447,
"Fruits, processed",Alabama,Million dollars,2010,2.004303421,
"Fruits, processed",Alabama,Million dollars,2011,2.32483029,
"Fruits, processed",Alabama,Million dollars,2012,1.924845035,
"Fruits, processed",Alabama,Million dollars,2013,2.140989837,
"Fruits, processed",Alabama,Million dollars,2014,2.160709779,
"Fruits, processed",Alabama,Million dollars,2015,2.835066244,
"Fruits, processed",Alabama,Million dollars,2016,0.892801093,
"Fruits, processed",Alabama,Million dollars,2017,0.755199418,
"Fruits, processed",Alabama,Million dollars,2018,0,
"Fruits, processed",Alabama,Million dollars,2019,0,
"Fruits, processed",Alabama,Million dollars,2020,0,
"Fruits, processed",Alabama,Million dollars,2021,0,
"Fruits, processed",Alabama,Million dollars,2022,0,
Grain products,Alabama,Million dollars,2000,2.747780703,
Grain products,Alabama,Million dollars,2001,3.045829271,
Grain products,Alabama,Million dollars,2002,3.216462074,
Grain products,Alabama,Million dollars,2003,4.223346206,
Grain products,Alabama,Million dollars,2004,5.068405323,
Grain products,Alabama,Million dollars,2005,5.608676463,
Grain products,Alabama,Million dollars,2006,4.997259856,
Grain products,Alabama,Million dollars,2007,6.778786684,
Grain products,Alabama,Million dollars,2008,8.945168929,
Grain products,Alabama,Million dollars,2009,10.20939656,
Grain products,Alabama,Million dollars,2010,9.746334018,
Grain products,Alabama,Million dollars,2011,11.52809397,
Grain products,Alabama,Million dollars,2012,13.56825156,
Grain products,Alabama,Million dollars,2013,17.81432505,
Grain products,Alabama,Million dollars,2014,19.94059762,
Grain products,Alabama,Million dollars,2015,14.76768522,
Grain products,Alabama,Million dollars,2016,13.1235376,
Grain products,Alabama,Million dollars,2017,12.69138859,
Grain products,Alabama,Million dollars,2018,13.49151632,
Grain products,Alabama,Million dollars,2019,13.398591,
Grain products,Alabama,Million dollars,2020,17.10841755,
Grain products,Alabama,Million dollars,2021,16.37209915,
Grain products,Alabama,Million dollars,2022,16.21946036,
Hides and skins,Alabama,Million dollars,2000,14.05656856,
Hides and skins,Alabama,Million dollars,2001,14.50643359,
Hides and skins,Alabama,Million dollars,2002,11.82815877,
Hides and skins,Alabama,Million dollars,2003,14.06097579,
Hides and skins,Alabama,Million dollars,2004,13.89037253,
Hides and skins,Alabama,Million dollars,2005,13.85810949,
Hides and skins,Alabama,Million dollars,2006,14.19760003,
Hides and skins,Alabama,Million dollars,2007,14.88587261,
Hides and skins,Alabama,Million dollars,2008,11.72134588,
Hides and skins,Alabama,Million dollars,2009,8.76363799,
Hides and skins,Alabama,Million dollars,2010,14.20291751,
Hides and skins,Alabama,Million dollars,2011,13.73807257,
Hides and skins,Alabama,Million dollars,2012,17.20806287,
Hides and skins,Alabama,Million dollars,2013,17.73016576,
Hides and skins,Alabama,Million dollars,2014,19.23115659,
Hides and skins,Alabama,Million dollars,2015,14.66034724,
Hides and skins,Alabama,Million dollars,2016,10.39659354,
Hides and skins,Alabama,Million dollars,2017,11.30751793,
Hides and skins,Alabama,Million dollars,2018,9.094758601,
Hides and skins,Alabama,Million dollars,2019,5.063606776,
Hides and skins,Alabama,Million dollars,2020,4.08801402,
Hides and skins,Alabama,Million dollars,2021,5.335798774,
Hides and skins,Alabama,Million dollars,2022,4.935940693,
Other livestock products,Alabama,Million dollars,2000,54.88753368,
Other livestock products,Alabama,Million dollars,2001,49.83856785,
Other livestock products,Alabama,Million dollars,2002,53.24752043,
Other livestock products,Alabama,Million dollars,2003,74.58374875,
Other livestock products,Alabama,Million dollars,2004,72.08270947,
Other livestock products,Alabama,Million dollars,2005,71.15805917,
Other livestock products,Alabama,Million dollars,2006,71.89098556,
Other livestock products,Alabama,Million dollars,2007,84.86945865,
Other livestock products,Alabama,Million dollars,2008,102.6216431,
Other livestock products,Alabama,Million dollars,2009,67.7485593,
Other livestock products,Alabama,Million dollars,2010,97.07350984,
Other livestock products,Alabama,Million dollars,2011,119.2003053,
Other livestock products,Alabama,Million dollars,2012,101.5545603,
Other livestock products,Alabama,Million dollars,2013,81.09049568,
Other livestock products,Alabama,Million dollars,2014,76.65429935,
Other livestock products,Alabama,Million dollars,2015,72.01983543,
Other livestock products,Alabama,Million dollars,2016,75.42709418,
Other livestock products,Alabama,Million dollars,2017,83.87048341,
Other livestock products,Alabama,Million dollars,2018,68.97969539,
Other livestock products,Alabama,Million dollars,2019,75.95779371,
Other livestock products,Alabama,Million dollars,2020,85.58962694,
Other livestock products,Alabama,Million dollars,2021,103.3126711,
Other livestock products,Alabama,Million dollars,2022,93.90659004,
Other oilseeds and products,Alabama,Million dollars,2000,42.40865408,
Other oilseeds and products,Alabama,Million dollars,2001,91.68295577,
Other oilseeds and products,Alabama,Million dollars,2002,52.92486013,
Other oilseeds and products,Alabama,Million dollars,2003,51.81494407,
Other oilseeds and products,Alabama,Million dollars,2004,58.99281723,
Other oilseeds and products,Alabama,Million dollars,2005,59.24717131,
Other oilseeds and products,Alabama,Million dollars,2006,51.29044385,
Other oilseeds and products,Alabama,Million dollars,2007,51.45292716,
Other oilseeds and products,Alabama,Million dollars,2008,48.82388577,
Other oilseeds and products,Alabama,Million dollars,2009,61.34777745,
Other oilseeds and products,Alabama,Million dollars,2010,44.77550874,
Other oilseeds and products,Alabama,Million dollars,2011,58.91215895,
Other oilseeds and products,Alabama,Million dollars,2012,92.4487238,
Other oilseeds and products,Alabama,Million dollars,2013,107.0637595,
Other oilseeds and products,Alabama,Million dollars,2014,83.7320044,
Other oilseeds and products,Alabama,Million dollars,2015,75.43360103,
Other oilseeds and products,Alabama,Million dollars,2016,99.36091986,
Other oilseeds and products,Alabama,Million dollars,2017,96.44694812,
Other oilseeds and products,Alabama,Million dollars,2018,105.8788192,
Other oilseeds and products,Alabama,Million dollars,2019,87.3988265,
Other oilseeds and products,Alabama,Million dollars,2020,83.0708494,
Other oilseeds and products,Alabama,Million dollars,2021,111.0472237,
Other oilseeds and products,Alabama,Million dollars,2022,82.24313627,
Other plant products,Alabama,Million dollars,2000,67.25076747,
Other plant products,Alabama,Million dollars,2001,75.63806383,
Other plant products,Alabama,Million dollars,2002,77.36375148,
Other plant products,Alabama,Million dollars,2003,96.65483018,
Other plant products,Alabama,Million dollars,2004,112.6393471,
Other plant products,Alabama,Million dollars,2005,88.32782546,
Other plant products,Alabama,Million dollars,2006,93.9104048,
Other plant products,Alabama,Million dollars,2007,106.5959256,
Other plant products,Alabama,Million dollars,2008,119.1883506,
Other plant products,Alabama,Million dollars,2009,111.6485423,
Other plant products,Alabama,Million dollars,2010,119.5510628,
Other plant products,Alabama,Million dollars,2011,132.5326189,
Other plant products,Alabama,Million dollars,2012,154.4553644,
Other plant products,Alabama,Million dollars,2013,152.4379548,
Other plant products,Alabama,Million dollars,2014,162.731997,
Other plant products,Alabama,Million dollars,2015,166.0238624,
Other plant products,Alabama,Million dollars,2016,192.8738815,
Other plant products,Alabama,Million dollars,2017,206.4055391,
Other plant products,Alabama,Million dollars,2018,226.2461591,
Other plant products,Alabama,Million dollars,2019,244.4298807,
Other plant products,Alabama,Million dollars,2020,237.5630642,
Other plant products,Alabama,Million dollars,2021,224.9207364,
Other plant products,Alabama,Million dollars,2022,221.3317843,
Other poultry products,Alabama,Million dollars,2000,25.34011317,
Other poultry products,Alabama,Million dollars,2001,28.47649484,
Other poultry products,Alabama,Million dollars,2002,26.83674062,
Other poultry products,Alabama,Million dollars,2003,28.18558581,
Other poultry products,Alabama,Million dollars,2004,27.86672466,
Other poultry products,Alabama,Million dollars,2005,37.92337595,
Other poultry products,Alabama,Million dollars,2006,37.95635937,
Other poultry products,Alabama,Million dollars,2007,38.50518102,
Other poultry products,Alabama,Million dollars,2008,38.33855631,
Other poultry products,Alabama,Million dollars,2009,46.36602186,
Other poultry products,Alabama,Million dollars,2010,48.3829731,
Other poultry products,Alabama,Million dollars,2011,55.83663347,
Other poultry products,Alabama,Million dollars,2012,58.51852451,
Other poultry products,Alabama,Million dollars,2013,67.57490619,
Other poultry products,Alabama,Million dollars,2014,65.97460028,
Other poultry products,Alabama,Million dollars,2015,42.40788901,
Other poultry products,Alabama,Million dollars,2016,55.3460837,
Other poultry products,Alabama,Million dollars,2017,56.99895452,
Other poultry products,Alabama,Million dollars,2018,54.80402408,
Other poultry products,Alabama,Million dollars,2019,67.15489053,
Other poultry products,Alabama,Million dollars,2020,68.42219185,
Other poultry products,Alabama,Million dollars,2021,80.87827575,
Other poultry products,Alabama,Million dollars,2022,59.47993269,
Pork,Alabama,Million dollars,2000,4.477656045,
Pork,Alabama,Million dollars,2001,3.93795885,
Pork,Alabama,Million dollars,2002,3.185403316,
Pork,Alabama,Million dollars,2003,2.922412644,
Pork,Alabama,Million dollars,2004,4.102784204,
Pork,Alabama,Million dollars,2005,7.524299974,
Pork,Alabama,Million dollars,2006,7.069928952,
Pork,Alabama,Million dollars,2007,8.483092937,
Pork,Alabama,Million dollars,2008,10.19726549,
Pork,Alabama,Million dollars,2009,14.17473549,
Pork,Alabama,Million dollars,2010,11.30797439,
Pork,Alabama,Million dollars,2011,10.60537164,
Pork,Alabama,Million dollars,2012,11.4601299,
Pork,Alabama,Million dollars,2013,12.42367257,
Pork,Alabama,Million dollars,2014,9.673021316,
Pork,Alabama,Million dollars,2015,9.890888441,
Pork,Alabama,Million dollars,2016,9.010499508,
Pork,Alabama,Million dollars,2017,5.971818433,
Pork,Alabama,Million dollars,2018,6.212545286,
Pork,Alabama,Million dollars,2019,7.172189186,
Pork,Alabama,Million dollars,2020,8.787856869,
Pork,Alabama,Million dollars,2021,3.69983304,
Pork,Alabama,Million dollars,2022,4.116694544,
Rice,Alabama,Million dollars,2000,0,
Rice,Alabama,Million dollars,2001,0,
Rice,Alabama,Million dollars,2002,0,
Rice,Alabama,Million dollars,2003,0,
Rice,Alabama,Million dollars,2004,0,
Rice,Alabama,Million dollars,2005,0,
Rice,Alabama,Million dollars,2006,0,
Rice,Alabama,Million dollars,2007,0,
Rice,Alabama,Million dollars,2008,0,
Rice,Alabama,Million dollars,2009,0,
Rice,Alabama,Million dollars,2010,0,
Rice,Alabama,Million dollars,2011,0,
Rice,Alabama,Million dollars,2012,0,
Rice,Alabama,Million dollars,2013,0,
Rice,Alabama,Million dollars,2014,0,
Rice,Alabama,Million dollars,2015,0,
Rice,Alabama,Million dollars,2016,0,
Rice,Alabama,Million dollars,2017,0,
Rice,Alabama,Million dollars,2018,0,
Rice,Alabama,Million dollars,2019,0,
Rice,Alabama,Million dollars,2020,0,
Rice,Alabama,Million dollars,2021,0,
Rice,Alabama,Million dollars,2022,0,
Soybean meal,Alabama,Million dollars,2000,1.42749009,
Soybean meal,Alabama,Million dollars,2001,2.206467373,
Soybean meal,Alabama,Million dollars,2002,1.97551211,
Soybean meal,Alabama,Million dollars,2003,2.453283914,
Soybean meal,Alabama,Million dollars,2004,3.088554434,
Soybean meal,Alabama,Million dollars,2005,2.460226596,
Soybean meal,Alabama,Million dollars,2006,1.829291481,
Soybean meal,Alabama,Million dollars,2007,2.568942441,
Soybean meal,Alabama,Million dollars,2008,8.580547937,
Soybean meal,Alabama,Million dollars,2009,17.51093254,
Soybean meal,Alabama,Million dollars,2010,14.42007282,
Soybean meal,Alabama,Million dollars,2011,9.269901967,
Soybean meal,Alabama,Million dollars,2012,19.99182094,
Soybean meal,Alabama,Million dollars,2013,30.16293038,
Soybean meal,Alabama,Million dollars,2014,27.01452905,
Soybean meal,Alabama,Million dollars,2015,24.18421893,
Soybean meal,Alabama,Million dollars,2016,16.49010535,
Soybean meal,Alabama,Million dollars,2017,13.49388286,
Soybean meal,Alabama,Million dollars,2018,16.94702358,
Soybean meal,Alabama,Million dollars,2019,12.8258826,
Soybean meal,Alabama,Million dollars,2020,14.35901704,
Soybean meal,Alabama,Million dollars,2021,17.18305641,
Soybean meal,Alabama,Million dollars,2022,19.57920556,
Soybeans,Alabama,Million dollars,2000,5.880298393,
Soybeans,Alabama,Million dollars,2001,7.974320086,
Soybeans,Alabama,Million dollars,2002,8.342416759,
Soybeans,Alabama,Million dollars,2003,15.33495724,
Soybeans,Alabama,Million dollars,2004,15.80098867,
Soybeans,Alabama,Million dollars,2005,10.37243201,
Soybeans,Alabama,Million dollars,2006,7.613181324,
Soybeans,Alabama,Million dollars,2007,11.85856524,
Soybeans,Alabama,Million dollars,2008,41.36482146,
Soybeans,Alabama,Million dollars,2009,82.15335662,
Soybeans,Alabama,Million dollars,2010,76.33889459,
Soybeans,Alabama,Million dollars,2011,50.66301703,
Soybeans,Alabama,Million dollars,2012,101.2503483,
Soybeans,Alabama,Million dollars,2013,119.6087873,
Soybeans,Alabama,Million dollars,2014,117.2533448,
Soybeans,Alabama,Million dollars,2015,95.12908144,
Soybeans,Alabama,Million dollars,2016,92.21603196,
Soybeans,Alabama,Million dollars,2017,74.29964736,
Soybeans,Alabama,Million dollars,2018,56.70162121,
Soybeans,Alabama,Million dollars,2019,54.99216175,
Soybeans,Alabama,Million dollars,2020,77.57638175,
Soybeans,Alabama,Million dollars,2021,83.94787782,
Soybeans,Alabama,Million dollars,2022,109.944278,
Tobacco,Alabama,Million dollars,2000,0,
Tobacco,Alabama,Million dollars,2001,0,
Tobacco,Alabama,Million dollars,2002,0,
Tobacco,Alabama,Million dollars,2003,0,
Tobacco,Alabama,Million dollars,2004,0,
Tobacco,Alabama,Million dollars,2005,0,
Tobacco,Alabama,Million dollars,2006,0,
Tobacco,Alabama,Million dollars,2007,0,
Tobacco,Alabama,Million dollars,2008,0,
Tobacco,Alabama,Million dollars,2009,0,
Tobacco,Alabama,Million dollars,2010,0,
Tobacco,Alabama,Million dollars,2011,0,
Tobacco,Alabama,Million dollars,2012,0,
Tobacco,Alabama,Million dollars,2013,0,
Tobacco,Alabama,Million dollars,2014,0,
Tobacco,Alabama,Million dollars,2015,0,
Tobacco,Alabama,Million dollars,2016,0,
Tobacco,Alabama,Million dollars,2017,0,
Tobacco,Alabama,Million dollars,2018,0,
Tobacco,Alabama,Million dollars,2019,0,
Tobacco,Alabama,Million dollars,2020,0,
Tobacco,Alabama,Million dollars,2021,0,
Tobacco,Alabama,Million dollars,2022,0,
Total agricultural exports,Alabama,Million dollars,2000,568.8046278,
Total agricultural exports,Alabama,Million dollars,2001,665.3505493,
Total agricultural exports,Alabama,Million dollars,2002,525.2143218,
Total agricultural exports,Alabama,Million dollars,2003,718.8592336,
Total agricultural exports,Alabama,Million dollars,2004,721.4104293,
Total agricultural exports,Alabama,Million dollars,2005,770.5408401,
Total agricultural exports,Alabama,Million dollars,2006,698.0515043,
Total agricultural exports,Alabama,Million dollars,2007,844.2345634,
Total agricultural exports,Alabama,Million dollars,2008,1065.689857,
Total agricultural exports,Alabama,Million dollars,2009,1029.864217,
Total agricultural exports,Alabama,Million dollars,2010,1133.220423,
Total agricultural exports,Alabama,Million dollars,2011,1417.493853,
Total agricultural exports,Alabama,Million dollars,2012,1470.394026,
Total agricultural exports,Alabama,Million dollars,2013,1563.121443,
Total agricultural exports,Alabama,Million dollars,2014,1498.858478,
Total agricultural exports,Alabama,Million dollars,2015,1206.20746,
Total agricultural exports,Alabama,Million dollars,2016,1211.28719,
Total agricultural exports,Alabama,Million dollars,2017,1288.009309,
Total agricultural exports,Alabama,Million dollars,2018,1366.063589,
Total agricultural exports,Alabama,Million dollars,2019,1378.187992,
Total agricultural exports,Alabama,Million dollars,2020,1380.416342,
Total agricultural exports,Alabama,Million dollars,2021,1550.808132,
Total agricultural exports,Alabama,Million dollars,2022,1702.514738,
Total animal products,Alabama,Million dollars,2000,325.6265256,
Total animal products,Alabama,Million dollars,2001,346.3025614,
Total animal products,Alabama,Million dollars,2002,288.7678423,
Total animal products,Alabama,Million dollars,2003,338.2896962,
Total animal products,Alabama,Million dollars,2004,333.3155351,
Total animal products,Alabama,Million dollars,2005,390.0915373,
Total animal products,Alabama,Million dollars,2006,362.8277535,
Total animal products,Alabama,Million dollars,2007,479.8479007,
Total animal products,Alabama,Million dollars,2008,596.3524785,
Total animal products,Alabama,Million dollars,2009,540.7728452,
Total animal products,Alabama,Million dollars,2010,573.2903832,
Total animal products,Alabama,Million dollars,2011,661.9313008,
Total animal products,Alabama,Million dollars,2012,707.6789916,
Total animal products,Alabama,Million dollars,2013,717.3029772,
Total animal products,Alabama,Million dollars,2014,712.5595882,
Total animal products,Alabama,Million dollars,2015,533.7989661,
Total animal products,Alabama,Million dollars,2016,509.0994957,
Total animal products,Alabama,Million dollars,2017,562.8189168,
Total animal products,Alabama,Million dollars,2018,550.1468548,
Total animal products,Alabama,Million dollars,2019,551.966267,
Total animal products,Alabama,Million dollars,2020,555.7186724,
Total animal products,Alabama,Million dollars,2021,674.9097876,
Total animal products,Alabama,Million dollars,2022,718.5841308,
Total plant products,Alabama,Million dollars,2000,243.1781022,
Total plant products,Alabama,Million dollars,2001,319.0479879,
Total plant products,Alabama,Million dollars,2002,236.4464795,
Total plant products,Alabama,Million dollars,2003,380.5695375,
Total plant products,Alabama,Million dollars,2004,388.0948942,
Total plant products,Alabama,Million dollars,2005,380.4493028,
Total plant products,Alabama,Million dollars,2006,335.2237508,
Total plant products,Alabama,Million dollars,2007,364.3866628,
Total plant products,Alabama,Million dollars,2008,469.3373789,
Total plant products,Alabama,Million dollars,2009,489.0913715,
Total plant products,Alabama,Million dollars,2010,559.9300398,
Total plant products,Alabama,Million dollars,2011,755.5625522,
Total plant products,Alabama,Million dollars,2012,762.7150343,
Total plant products,Alabama,Million dollars,2013,845.8184654,
Total plant products,Alabama,Million dollars,2014,786.2988897,
Total plant products,Alabama,Million dollars,2015,672.4084939,
Total plant products,Alabama,Million dollars,2016,702.1876944,
Total plant products,Alabama,Million dollars,2017,725.1903926,
Total plant products,Alabama,Million dollars,2018,815.9167341,
Total plant products,Alabama,Million dollars,2019,826.2217253,
Total plant products,Alabama,Million dollars,2020,824.6976699,
Total plant products,Alabama,Million dollars,2021,875.8983449,
Total plant products,Alabama,Million dollars,2022,983.9306072,
Tree nuts,Alabama,Million dollars,2000,8.841979909,
Tree nuts,Alabama,Million dollars,2001,5.701832111,
Tree nuts,Alabama,Million dollars,2002,1.995245431,
Tree nuts,Alabama,Million dollars,2003,4.755862235,
Tree nuts,Alabama,Million dollars,2004,0.743178213,
